"","sciezka_wiersza","aabb","abab","abba","typ_rymow"
"1","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Abdykacja.txt",0,23,0,"ABAB"
"2","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Ach_jak_mi_smutno!.txt",0,5,0,"ABAB"
"3","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Ach_powiedz!.txt",0,14,0,"ABAB"
"4","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Anakreontyk.txt",1,5,2,"ABAB"
"5","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Anielskie_chÛry.txt",0,0,7,"ABBA"
"6","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Astry.txt",0,6,0,"ABAB"
"7","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Aszera.txt",17,0,4,"AABB"
"8","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Barkarola.txt",0,8,0,"ABAB"
"9","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/BaúÒ_tÍczowa.txt",1,25,1,"ABAB"
"10","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Bez_granic.txt",2,2,1,"N/A"
"11","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Bez_odpowiedzi.txt",5,25,0,"ABAB"
"12","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Bezimiennemu.txt",0,11,0,"ABAB"
"13","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/B≥awatek.txt",0,6,0,"ABAB"
"14","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Bodaj_owa_rzeczka_szuwarem_zaros≥a.txt",7,2,2,"AABB"
"15","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Boles≥awowi_Prusowi.txt",0,13,0,"ABAB"
"16","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/BÛl_zasnπ≥.txt",0,14,0,"ABAB"
"17","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/BÛstwo_tajemnicze.txt",2,30,2,"ABAB"
"18","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Ch≥opca_mego_mi_zabrali.txt",1,13,1,"ABAB"
"19","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/ChoÊ_pÛl_i_≥πk...txt",2,0,3,"ABBA"
"20","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Ciche_wzgÛrze.txt",7,13,2,"ABAB"
"21","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Czarodziejka.txt",6,21,1,"ABAB"
"22","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Czary.txt",3,23,6,"ABAB"
"23","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Da_BÛg_kiedyú_zasiπúÊ_w_Polsce_wolnej.txt",1,4,3,"ABAB"
"24","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Daremne_øale.txt",0,7,0,"ABAB"
"25","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Dla_panny_Laury_R..txt",2,4,0,"ABAB"
"26","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Dlaczego_wicher_tak_wyje.txt",0,10,0,"ABAB"
"27","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Do....txt",4,16,0,"ABAB"
"28","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Do_M≥odych.txt",3,5,3,"ABAB"
"29","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Dwa_anio≥y.txt",0,15,0,"ABAB"
"30","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Dwa_sonety.txt",1,17,1,"ABAB"
"31","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Dwa_spotkania.txt",0,3,0,"ABAB"
"32","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Dzieje_piosenki.txt",0,16,0,"ABAB"
"33","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/DzieÒ_i_noc.txt",0,11,0,"ABAB"
"34","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/DzieÒ_wczorajszy.txt",0,25,0,"ABAB"
"35","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Dzisiejszym_idealistom.txt",0,12,0,"ABAB"
"36","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Dziwny_sen.txt",0,9,0,"ABAB"
"37","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Dzwonki.txt",18,16,2,"AABB"
"38","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Echo_ko≥yski.txt",11,1,7,"AABB"
"39","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Egzotyczne_kwiaty.txt",4,9,0,"ABAB"
"40","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Fijo≥ki.txt",0,11,0,"ABAB"
"41","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Ga≥πzka_jaúminu.txt",2,35,2,"ABAB"
"42","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Gdybym_by≥_m≥odszy....txt",0,20,0,"ABAB"
"43","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Giewont.txt",14,21,3,"ABAB"
"44","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/G≥os_wo≥ajπcy_na_puszczy.txt",0,5,0,"ABAB"
"45","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Helenie_Modrzejewskiej.txt",16,5,0,"AABB"
"46","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Herakles.txt",0,13,1,"ABAB"
"47","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Historyczna_nowa_szko≥a.txt",2,5,0,"ABAB"
"48","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Huczy_woda_po_kamieniach.txt",0,6,0,"ABAB"
"49","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/I__Zmiennego_bytu_falo_ty_ruchliwa.txt",1,5,2,"ABAB"
"50","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/Idü_dalej.txt",0,5,0,"ABAB"
"51","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/II__Wieczne_ciemnoúci_bezdenne_otch≥anie.txt",4,6,5,"ABAB"
"52","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/III__£udzπca_Maja_otworzy_ci_oczy.txt",1,7,1,"ABAB"
"53","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/IV__Jak_ptaki_kiedy_odlatywaÊ_pocznπ.txt",4,10,4,"ABAB"
"54","C:\Users\Krystian\Downloads\FINAL\FINAL/Adam_Asnyk/IX__Nieúmiertelnoúci_nie_poszukuj_w_prÛchnie.txt",0,3,1,"ABAB"
